"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_read.sum.pct_of_peak_sustained_elapsed","dram__bytes_write.sum","gpu__time_duration.sum","pmsampling:sm__pipe_tensor_cycles_active_realtime.avg.pct_of_peak_sustained_elapsed","sm__inst_executed.avg.pct_of_peak_sustained_elapsed"
"","","","","","","","","","","","Gbyte","%","Mbyte","usecond","%","%"
"270","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(8, 1, 1)","1","9.0","0.000035","0.191936","0.000000","5.408000","0.000212","0.158940"
"271","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, std::array<char *, (unsigned long)3>>(int, T2, T3)","1","7","(128, 1, 1)","(8, 1, 1)","1","9.0","0.000021","0.207490","0.000000","3.040000","0.000000","0.043351"
"272","48439","python3.10","127.0.0.1","void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","1","7","(512, 1, 1)","(264, 2, 1)","1","9.0","0.000020","0.145349","0.000000","4.256000","0.000231","3.309733"
"273","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000027","0.196970","0.000000","4.064000","0.000013","0.014836"
"274","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000027","0.186305","0.000000","4.384000","0.000014","0.012920"
"275","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, std::array<char *, (unsigned long)3>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000006","0.050000","0.000000","3.392000","0.000000","0.011391"
"276","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000027","0.202161","0.000000","4.064000","0.000011","0.015022"
"277","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000027","0.188639","0.000000","4.320000","0.000015","0.013846"
"278","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, std::array<char *, (unsigned long)3>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000006","0.051556","0.000000","3.264000","0.000000","0.010417"
"279","48439","python3.10","127.0.0.1","void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","1","7","(512, 1, 1)","(264, 2, 1)","1","9.0","0.000005","0.036678","0.000000","4.192000","0.000014","2.727651"
