model,dtype,num_gpus,batch,in_dim,out_dim,avg_ms,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
Qwen3-235B (4096x1536),fp16,1,1,4096,1536,0.0302,0.417,0.04,0.012594,0.4169,12.45,1.00,memory,0.0038,8.04
Qwen3-235B (4096x1536),fp16,1,2,4096,1536,0.0290,0.869,0.09,0.012605,0.4354,13.00,2.00,memory,0.0038,7.69
Qwen3-235B (4096x1536),fp16,1,4,4096,1536,0.0299,1.686,0.17,0.012628,0.4230,12.63,3.99,memory,0.0038,7.92
Qwen3-235B (4096x1536),fp16,1,8,4096,1536,0.0293,3.430,0.35,0.012673,0.4319,12.89,7.94,memory,0.0038,7.76
Qwen3-235B (4096x1536),fp16,1,16,4096,1536,0.0292,6.891,0.70,0.012763,0.4369,13.04,15.77,memory,0.0038,7.67
Qwen3-235B (4096x1536),fp16,1,32,4096,1536,0.0302,13.330,1.35,0.012943,0.4285,12.79,31.11,memory,0.0039,7.82
Qwen3-235B (4096x1536),fp16,1,64,4096,1536,0.0306,26.327,2.66,0.013304,0.4349,12.98,60.53,memory,0.0040,7.70
Qwen3-235B (4096x1536),fp16,1,128,4096,1536,0.0291,55.427,5.60,0.014025,0.4826,14.41,114.84,memory,0.0042,6.94
Qwen3-235B (4096x1536),fp16,1,256,4096,1536,0.0325,98.980,10.01,0.015466,0.4752,14.19,208.27,memory,0.0046,7.05
Qwen3-235B (4096x1536),fp16,1,512,4096,1536,0.0317,203.139,20.54,0.018350,0.5786,17.27,351.09,compute,0.0065,4.87
Qwen3-235B (4096x1536),fp16,1,1024,4096,1536,0.0320,403.127,40.76,0.024117,0.7546,22.52,534.26,compute,0.0130,2.45
Qwen3-235B (4096x1536),fp16,1,2048,4096,1536,0.0484,532.865,53.88,0.035652,0.7372,22.01,722.82,compute,0.0261,1.86
Qwen3-235B (4096x1536),fp16,1,4096,4096,1536,0.0809,637.452,64.45,0.058720,0.7263,21.68,877.71,compute,0.0521,1.55
Qwen3-235B (4096x1536),fp16,1,8192,4096,1536,0.1467,702.453,71.03,0.104858,0.7146,21.33,983.04,compute,0.1042,1.41
Qwen3-235B (4096x1536),fp16,1,16384,4096,1536,0.2998,687.715,69.54,0.197132,0.6576,19.63,1045.79,compute,0.2085,1.44
Qwen3-235B (4096x1536),fp16,1,32768,4096,1536,0.5897,699.178,70.70,0.381682,0.6472,19.32,1080.26,compute,0.4169,1.41
Qwen3-235B (4096x1536),fp16,1,65536,4096,1536,1.1887,693.702,70.14,0.750780,0.6316,18.85,1098.37,compute,0.8338,1.43
Qwen3-235B (4096x1536),fp16,1,131072,4096,1536,2.1581,764.216,77.27,1.488978,0.6899,20.60,1107.65,compute,1.6676,1.29
Qwen3-235B (4096x1536),fp16,1,262144,4096,1536,4.9409,667.593,67.50,2.965373,0.6002,17.92,1112.35,compute,3.3352,1.48
Qwen3-235B (4096x1536),fp16,1,524288,4096,1536,9.2091,716.364,72.43,5.918163,0.6426,19.18,1114.72,compute,6.6704,1.38
Qwen3-235B (4096x1536),fp16,1,1048576,4096,1536,20.6293,639.582,64.67,11.823743,0.5732,17.11,1115.90,compute,13.3409,1.55
