model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
qwen3-235B-GQA-decode,fp8,2,1,1024,proj_qkv,0.1054,17.87,0.358,0.02,0.018896,0.1793,5.35,2.00,memory,0.0056,18.68
qwen3-235B-GQA-decode,fp8,2,1,1024,attn,0.1653,28.04,0.103,0.01,0.000541,0.0033,0.10,31.33,memory,0.0002,1023.40
qwen3-235B-GQA-decode,fp8,2,1,1024,proj_o,0.3190,54.09,0.105,0.01,0.016798,0.0527,1.57,2.00,memory,0.0050,63.62
qwen3-235B-GQA-decode,fp8,2,1,1024,TOTAL,0.5897,100.00,0.150,0.01,0.036235,0.0614,1.83,2.44,memory,0.0108,54.52
qwen3-235B-GQA-decode,fp8,2,1,2048,proj_qkv,0.1289,27.03,0.293,0.01,0.018896,0.1466,4.38,2.00,memory,0.0056,22.85
qwen3-235B-GQA-decode,fp8,2,1,2048,attn,0.1908,40.02,0.178,0.01,0.001065,0.0056,0.17,31.82,memory,0.0003,599.91
qwen3-235B-GQA-decode,fp8,2,1,2048,proj_o,0.1571,32.95,0.214,0.01,0.016798,0.1069,3.19,2.00,memory,0.0050,31.33
qwen3-235B-GQA-decode,fp8,2,1,2048,TOTAL,0.4768,100.00,0.221,0.01,0.036759,0.0771,2.30,2.86,memory,0.0110,43.45
qwen3-235B-GQA-decode,fp8,2,1,4096,proj_qkv,0.0941,20.05,0.401,0.02,0.018896,0.2008,5.99,2.00,memory,0.0056,16.69
qwen3-235B-GQA-decode,fp8,2,1,4096,attn,0.2152,45.86,0.315,0.02,0.002114,0.0098,0.29,32.06,memory,0.0006,341.09
qwen3-235B-GQA-decode,fp8,2,1,4096,proj_o,0.1600,34.09,0.210,0.01,0.016798,0.1050,3.13,2.00,memory,0.0050,31.91
qwen3-235B-GQA-decode,fp8,2,1,4096,TOTAL,0.4694,100.00,0.296,0.01,0.037808,0.0805,2.40,3.68,memory,0.0113,41.59
qwen3-235B-GQA-decode,fp8,2,1,8192,proj_qkv,0.1063,23.90,0.355,0.02,0.018896,0.1777,5.31,2.00,memory,0.0056,18.85
qwen3-235B-GQA-decode,fp8,2,1,8192,attn,0.2319,52.13,0.585,0.03,0.004211,0.0182,0.54,32.19,memory,0.0013,184.45
qwen3-235B-GQA-decode,fp8,2,1,8192,proj_o,0.1066,23.97,0.315,0.02,0.016798,0.1575,4.70,2.00,memory,0.0050,21.26
