model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
qwen3-235B-GQA-decode,fp8,2,1,8192,TOTAL,0.4448,100.00,0.465,0.02,0.039905,0.0897,2.68,5.18,memory,0.0119,37.34
qwen3-235B-GQA-decode,fp8,2,1,16384,proj_qkv,0.0758,28.39,0.498,0.03,0.018896,0.2493,7.44,2.00,memory,0.0056,13.44
qwen3-235B-GQA-decode,fp8,2,1,16384,attn,0.1317,49.32,2.059,0.10,0.008406,0.0638,1.91,32.25,memory,0.0025,52.47
qwen3-235B-GQA-decode,fp8,2,1,16384,proj_o,0.0595,22.29,0.564,0.03,0.016798,0.2823,8.43,2.00,memory,0.0050,11.87
qwen3-235B-GQA-decode,fp8,2,1,16384,TOTAL,0.2670,100.00,1.283,0.06,0.044099,0.1652,4.93,7.76,memory,0.0132,20.28
qwen3-235B-GQA-decode,fp8,2,1,32768,proj_qkv,0.0910,17.05,0.415,0.02,0.018896,0.2077,6.20,2.00,memory,0.0056,16.13
qwen3-235B-GQA-decode,fp8,2,1,32768,attn,0.4235,79.35,1.280,0.06,0.016794,0.0397,1.18,32.28,memory,0.0050,84.49
qwen3-235B-GQA-decode,fp8,2,1,32768,proj_o,0.0193,3.61,1.742,0.09,0.016798,0.8718,26.02,2.00,memory,0.0050,3.84
qwen3-235B-GQA-decode,fp8,2,1,32768,TOTAL,0.5338,100.00,1.149,0.06,0.052488,0.0983,2.94,11.69,memory,0.0157,34.07
qwen3-235B-GQA-decode,fp8,2,1,65536,proj_qkv,0.1560,10.67,0.242,0.01,0.018896,0.1211,3.62,2.00,memory,0.0056,27.66
qwen3-235B-GQA-decode,fp8,2,1,65536,attn,1.1945,81.73,0.908,0.05,0.033571,0.0281,0.84,32.30,memory,0.0100,119.20
qwen3-235B-GQA-decode,fp8,2,1,65536,proj_o,0.1111,7.60,0.302,0.02,0.016798,0.1513,4.51,2.00,memory,0.0050,22.15
qwen3-235B-GQA-decode,fp8,2,1,65536,TOTAL,1.4616,100.00,0.791,0.04,0.069265,0.0474,1.41,16.68,memory,0.0207,70.69
qwen3-235B-GQA-decode,fp8,2,1,131072,proj_qkv,0.0780,4.09,0.484,0.02,0.018896,0.2421,7.23,2.00,memory,0.0056,13.84
qwen3-235B-GQA-decode,fp8,2,1,131072,attn,1.8116,95.00,1.197,0.06,0.067126,0.0371,1.11,32.30,memory,0.0200,90.41
qwen3-235B-GQA-decode,fp8,2,1,131072,proj_o,0.0174,0.91,1.933,0.10,0.016798,0.9674,28.88,2.00,memory,0.0050,3.46
qwen3-235B-GQA-decode,fp8,2,1,131072,TOTAL,1.9070,100.00,1.175,0.06,0.102819,0.0539,1.61,21.78,memory,0.0307,62.13
qwen3-235B-GQA-decode,fp8,2,1,262144,proj_qkv,0.1267,3.83,0.298,0.02,0.018896,0.1491,4.45,2.00,memory,0.0056,22.46
qwen3-235B-GQA-decode,fp8,2,1,262144,attn,3.1111,94.04,1.394,0.07,0.134235,0.0431,1.29,32.31,memory,0.0401,77.64
qwen3-235B-GQA-decode,fp8,2,1,262144,proj_o,0.0706,2.13,0.475,0.02,0.016798,0.2380,7.10,2.00,memory,0.0050,14.08
qwen3-235B-GQA-decode,fp8,2,1,262144,TOTAL,3.3084,100.00,1.332,0.07,0.169928,0.0514,1.53,25.94,memory,0.0507,65.22
qwen3-235B-GQA-decode,fp8,2,1,524288,proj_qkv,0.0481,0.81,0.785,0.04,0.018896,0.3927,11.72,2.00,memory,0.0056,8.53
qwen3-235B-GQA-decode,fp8,2,1,524288,attn,5.8847,98.90,1.474,0.07,0.268452,0.0456,1.36,32.31,memory,0.0801,73.43
qwen3-235B-GQA-decode,fp8,2,1,524288,proj_o,0.0175,0.29,1.912,0.10,0.016798,0.9572,28.57,2.00,memory,0.0050,3.50
qwen3-235B-GQA-decode,fp8,2,1,524288,TOTAL,5.9503,100.00,1.470,0.07,0.304146,0.0511,1.53,28.75,memory,0.0908,65.54
qwen3-235B-GQA-decode,fp8,2,1,1048576,proj_qkv,0.0339,0.29,1.113,0.06,0.018896,0.5574,16.64,2.00,memory,0.0056,6.01
qwen3-235B-GQA-decode,fp8,2,1,1048576,attn,11.3420,97.57,1.530,0.08,0.536888,0.0473,1.41,32.31,memory,0.1603,70.77
qwen3-235B-GQA-decode,fp8,2,1,1048576,proj_o,0.2489,2.14,0.135,0.01,0.016798,0.0675,2.01,2.00,memory,0.0050,49.64
qwen3-235B-GQA-decode,fp8,2,1,1048576,TOTAL,11.6248,100.00,1.498,0.08,0.572581,0.0493,1.47,30.42,memory,0.1709,68.01
