model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct
qwen3-235B-GQA,fp8,1,4,512,proj_qkv,0.1382,13.25,1119.181,56.55,0.100663,0.7286,21.75
qwen3-235B-GQA,fp8,1,4,512,attn,0.7918,75.95,43.820,2.21,0.304087,0.3841,11.46
qwen3-235B-GQA,fp8,1,4,512,proj_o,0.1126,10.80,1220.664,61.68,0.100663,0.8940,26.69
qwen3-235B-GQA,fp8,1,4,512,TOTAL,1.0425,100.00,313.430,15.84,0.505414,0.4848,14.47
qwen3-235B-GQA,fp8,1,4,1024,proj_qkv,0.2378,7.40,1300.586,65.72,0.163578,0.6880,20.54
qwen3-235B-GQA,fp8,1,4,1024,attn,2.7617,85.97,50.253,2.54,1.145045,0.4146,12.38
qwen3-235B-GQA,fp8,1,4,1024,proj_o,0.2129,6.63,1291.360,65.25,0.167772,0.7882,23.53
qwen3-235B-GQA,fp8,1,4,1024,TOTAL,3.2123,100.00,225.040,11.37,1.476395,0.4596,13.72
qwen3-235B-GQA,fp8,1,4,2048,proj_qkv,0.4408,2.91,1402.978,70.89,0.289407,0.6565,19.60
qwen3-235B-GQA,fp8,1,4,2048,attn,14.3018,94.42,38.815,1.96,4.437574,0.3103,9.26
qwen3-235B-GQA,fp8,1,4,2048,proj_o,0.4043,2.67,1359.732,68.71,0.301990,0.7469,22.30
qwen3-235B-GQA,fp8,1,4,2048,TOTAL,15.1469,100.00,113.776,5.75,5.028970,0.3320,9.91
qwen3-235B-GQA,fp8,1,4,4096,proj_qkv,0.8575,1.84,1442.472,72.89,0.541065,0.6310,18.83
qwen3-235B-GQA,fp8,1,4,4096,attn,45.0634,96.46,49.275,2.49,17.465082,0.3876,11.57
qwen3-235B-GQA,fp8,1,4,4096,proj_o,0.7939,1.70,1384.923,69.98,0.570425,0.7185,21.45
qwen3-235B-GQA,fp8,1,4,4096,TOTAL,46.7148,100.00,97.549,4.93,18.576572,0.3977,11.87
qwen3-235B-GQA,fp8,1,8,128,proj_qkv,0.1017,26.30,759.914,38.40,0.069206,0.6803,20.31
qwen3-235B-GQA,fp8,1,8,128,attn,0.2069,53.47,20.965,1.06,0.051380,0.2484,7.41
qwen3-235B-GQA,fp8,1,8,128,proj_o,0.0783,20.24,877.742,44.35,0.067109,0.8572,25.59
qwen3-235B-GQA,fp8,1,8,128,TOTAL,0.3869,100.00,388.656,19.64,0.187695,0.4851,14.48
qwen3-235B-GQA,fp8,1,8,256,proj_qkv,0.1374,18.76,1125.594,56.88,0.100663,0.7328,21.87
qwen3-235B-GQA,fp8,1,8,256,attn,0.4822,65.84,35.979,1.82,0.169869,0.3523,10.52
qwen3-235B-GQA,fp8,1,8,256,proj_o,0.1128,15.40,1218.724,61.58,0.100663,0.8926,26.65
qwen3-235B-GQA,fp8,1,8,256,TOTAL,0.7323,100.00,422.515,21.35,0.371196,0.5069,15.13
qwen3-235B-GQA,fp8,1,8,512,proj_qkv,0.2365,11.98,1307.554,66.07,0.163578,0.6917,20.65
qwen3-235B-GQA,fp8,1,8,512,attn,1.5253,77.25,45.492,2.30,0.608174,0.3987,11.90
qwen3-235B-GQA,fp8,1,8,512,proj_o,0.2126,10.77,1292.721,65.32,0.167772,0.7890,23.55
qwen3-235B-GQA,fp8,1,8,512,TOTAL,1.9745,100.00,330.980,16.72,0.939524,0.4758,14.20
qwen3-235B-GQA,fp8,1,8,1024,proj_qkv,0.4365,6.94,1417.034,71.60,0.289407,0.6631,19.79
qwen3-235B-GQA,fp8,1,8,1024,attn,5.4511,86.63,50.918,2.57,2.290090,0.4201,12.54
qwen3-235B-GQA,fp8,1,8,1024,proj_o,0.4046,6.43,1358.667,68.65,0.301990,0.7463,22.28
qwen3-235B-GQA,fp8,1,8,1024,TOTAL,6.2922,100.00,229.776,11.61,2.881487,0.4579,13.67
qwen3-235B-GQA,fp8,1,8,2048,proj_qkv,0.8576,2.84,1442.259,72.88,0.541065,0.6309,18.83
qwen3-235B-GQA,fp8,1,8,2048,attn,28.5618,94.53,38.872,1.96,8.875147,0.3107,9.28
qwen3-235B-GQA,fp8,1,8,2048,proj_o,0.7939,2.63,1384.909,69.98,0.570425,0.7185,21.45
qwen3-235B-GQA,fp8,1,8,2048,TOTAL,30.2134,100.00,114.079,5.76,9.986638,0.3305,9.87
qwen3-235B-GQA,fp8,1,8,4096,proj_qkv,1.6914,1.81,1462.609,73.91,1.044382,0.6175,18.43
qwen3-235B-GQA,fp8,1,8,4096,attn,90.2200,96.52,49.224,2.49,34.930164,0.3872,11.56
