model,dtype,num_gpus,batch,in_dim,out_dim,avg_ms,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
Qwen3-235B (4096x1536),fp8,1,1,4096,1536,0.0867,0.145,0.01,0.006299,0.0726,2.17,2.00,memory,0.0019,46.13
Qwen3-235B (4096x1536),fp8,1,2,4096,1536,0.0534,0.471,0.02,0.006306,0.1181,3.52,3.99,memory,0.0019,28.37
Qwen3-235B (4096x1536),fp8,1,4,4096,1536,0.0668,0.753,0.04,0.006320,0.0946,2.82,7.96,memory,0.0019,35.43
Qwen3-235B (4096x1536),fp8,1,8,4096,1536,0.0996,1.010,0.05,0.006349,0.0637,1.90,15.86,memory,0.0019,52.57
Qwen3-235B (4096x1536),fp8,1,16,4096,1536,0.0690,2.918,0.15,0.006406,0.0929,2.77,31.43,memory,0.0019,36.08
Qwen3-235B (4096x1536),fp8,1,32,4096,1536,0.0487,8.266,0.42,0.006521,0.1339,4.00,61.75,memory,0.0019,25.03
Qwen3-235B (4096x1536),fp8,1,64,4096,1536,0.0982,8.201,0.41,0.006750,0.0687,2.05,119.30,memory,0.0020,48.73
Qwen3-235B (4096x1536),fp8,1,128,4096,1536,0.0609,26.461,1.34,0.007209,0.1184,3.54,223.42,memory,0.0022,28.29
Qwen3-235B (4096x1536),fp8,1,256,4096,1536,0.0676,47.681,2.41,0.008126,0.1203,3.59,396.39,memory,0.0024,27.85
Qwen3-235B (4096x1536),fp8,1,512,4096,1536,0.0581,110.826,5.60,0.009961,0.1714,5.12,646.74,compute,0.0033,17.86
Qwen3-235B (4096x1536),fp8,1,1024,4096,1536,0.0634,203.078,10.26,0.013631,0.2148,6.41,945.23,compute,0.0065,9.75
Qwen3-235B (4096x1536),fp8,1,2048,4096,1536,0.1147,224.768,11.36,0.020972,0.1829,5.46,1228.80,compute,0.0130,8.80
Qwen3-235B (4096x1536),fp8,1,4096,4096,1536,0.1646,313.185,15.83,0.035652,0.2166,6.47,1445.65,compute,0.0260,6.32
Qwen3-235B (4096x1536),fp8,1,8192,4096,1536,0.2683,384.212,19.41,0.065012,0.2423,7.23,1585.55,compute,0.0521,5.15
Qwen3-235B (4096x1536),fp8,1,16384,4096,1536,0.4287,480.892,24.30,0.123732,0.2886,8.62,1666.17,compute,0.1042,4.12
Qwen3-235B (4096x1536),fp8,1,32768,4096,1536,0.6950,593.301,29.98,0.241172,0.3470,10.36,1709.63,compute,0.2083,3.34
Qwen3-235B (4096x1536),fp8,1,65536,4096,1536,1.6396,502.954,25.41,0.476054,0.2904,8.67,1732.23,compute,0.4167,3.93
Qwen3-235B (4096x1536),fp8,1,131072,4096,1536,3.4664,475.791,24.04,0.945816,0.2729,8.14,1743.75,compute,0.8334,4.16
Qwen3-235B (4096x1536),fp8,1,262144,4096,1536,6.4322,512.816,25.91,1.885340,0.2931,8.75,1749.57,compute,1.6668,3.86
Qwen3-235B (4096x1536),fp8,1,524288,4096,1536,12.4990,527.808,26.67,3.764388,0.3012,8.99,1752.49,compute,3.3335,3.75
Qwen3-235B (4096x1536),fp8,1,1048576,4096,1536,24.4153,540.405,27.31,7.522484,0.3081,9.20,1753.96,compute,6.6671,3.66
