model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct
qwen3-235B-GQA,fp16,2,2,128,proj_qkv,0.0696,23.02,277.531,14.03,0.086508,1.2422,18.54
qwen3-235B-GQA,fp16,2,2,128,attn,0.1704,56.33,6.362,0.32,0.025690,0.1507,2.25
qwen3-235B-GQA,fp16,2,2,128,proj_o,0.0625,20.65,274.907,13.90,0.073400,1.1745,17.53
qwen3-235B-GQA,fp16,2,2,128,TOTAL,0.3026,100.00,124.243,6.28,0.185598,0.6134,9.16
qwen3-235B-GQA,fp16,2,2,256,proj_qkv,0.0797,26.09,484.782,24.51,0.097518,1.2230,18.25
qwen3-235B-GQA,fp16,2,2,256,attn,0.1566,51.24,27.696,1.40,0.084935,0.5424,8.10
qwen3-235B-GQA,fp16,2,2,256,proj_o,0.0692,22.66,496.211,25.09,0.079692,1.1509,17.18
qwen3-235B-GQA,fp16,2,2,256,TOTAL,0.3056,100.00,253.139,12.80,0.262144,0.8579,12.80
qwen3-235B-GQA,fp16,2,2,512,proj_qkv,0.0999,24.44,774.001,39.13,0.119538,1.1968,17.86
qwen3-235B-GQA,fp16,2,2,512,attn,0.2446,59.85,70.915,3.59,0.304087,1.2431,18.55
qwen3-235B-GQA,fp16,2,2,512,proj_o,0.0642,15.72,1069.826,54.09,0.092275,1.4365,21.44
qwen3-235B-GQA,fp16,2,2,512,TOTAL,0.4087,100.00,399.705,20.21,0.515899,1.2622,18.84
qwen3-235B-GQA,fp16,2,2,1024,proj_qkv,0.1381,14.96,1119.367,56.59,0.163578,1.1842,17.68
qwen3-235B-GQA,fp16,2,2,1024,attn,0.6944,75.21,99.931,5.05,1.145045,1.6490,24.61
qwen3-235B-GQA,fp16,2,2,1024,proj_o,0.0907,9.82,1515.375,76.61,0.117441,1.2949,19.33
qwen3-235B-GQA,fp16,2,2,1024,TOTAL,0.9232,100.00,391.512,19.79,1.426063,1.5447,23.05
qwen3-235B-GQA,fp16,2,2,2048,proj_qkv,0.2281,5.86,1355.891,68.55,0.251658,1.1034,16.47
qwen3-235B-GQA,fp16,2,2,2048,attn,3.4943,89.80,79.434,4.02,4.437574,1.2700,18.95
qwen3-235B-GQA,fp16,2,2,2048,proj_o,0.1689,4.34,1627.190,82.26,0.167772,0.9932,14.82
qwen3-235B-GQA,fp16,2,2,2048,TOTAL,3.8913,100.00,221.439,11.20,4.857004,1.2482,18.63
qwen3-235B-GQA,fp16,2,2,4096,proj_qkv,0.4388,3.65,1409.447,71.26,0.427819,0.9750,14.55
qwen3-235B-GQA,fp16,2,2,4096,attn,11.2594,93.63,98.607,4.99,17.465082,1.5512,23.15
qwen3-235B-GQA,fp16,2,2,4096,proj_o,0.3275,2.72,1678.462,84.86,0.268435,0.8196,12.23
qwen3-235B-GQA,fp16,2,2,4096,TOTAL,12.0257,100.00,189.467,9.58,18.161336,1.5102,22.54
qwen3-235B-GQA,fp16,2,4,128,proj_qkv,0.0802,25.14,482.250,24.38,0.097518,1.2166,18.16
qwen3-235B-GQA,fp16,2,4,128,attn,0.1690,53.03,12.827,0.65,0.051380,0.3039,4.54
qwen3-235B-GQA,fp16,2,4,128,proj_o,0.0696,21.83,493.788,24.96,0.079692,1.1453,17.09
qwen3-235B-GQA,fp16,2,4,128,TOTAL,0.3188,100.00,235.839,11.92,0.228590,0.7171,10.70
qwen3-235B-GQA,fp16,2,4,256,proj_qkv,0.1689,38.46,457.689,23.14,0.119538,0.7077,10.56
qwen3-235B-GQA,fp16,2,4,256,attn,0.1837,41.83,47.217,2.39,0.169869,0.9247,13.80
qwen3-235B-GQA,fp16,2,4,256,proj_o,0.0866,19.71,793.759,40.13,0.092275,1.0658,15.91
qwen3-235B-GQA,fp16,2,4,256,TOTAL,0.4392,100.00,352.248,17.81,0.381682,0.8691,12.97
qwen3-235B-GQA,fp16,2,4,512,proj_qkv,0.1575,23.51,982.013,49.65,0.163578,1.0389,15.51
qwen3-235B-GQA,fp16,2,4,512,attn,0.4213,62.91,82.357,4.16,0.608174,1.4436,21.55
qwen3-235B-GQA,fp16,2,4,512,proj_o,0.0909,13.58,1511.440,76.41,0.117441,1.2915,19.28
qwen3-235B-GQA,fp16,2,4,512,TOTAL,0.6697,100.00,487.937,24.67,0.889192,1.3278,19.82
qwen3-235B-GQA,fp16,2,4,1024,proj_qkv,0.2268,12.56,1363.239,68.92,0.251658,1.1094,16.56
qwen3-235B-GQA,fp16,2,4,1024,attn,1.4113,78.12,98.335,4.97,2.290090,1.6227,24.22
qwen3-235B-GQA,fp16,2,4,1024,proj_o,0.1684,9.32,1632.236,82.52,0.167772,0.9962,14.87
qwen3-235B-GQA,fp16,2,4,1024,TOTAL,1.8066,100.00,400.152,20.23,2.709520,1.4998,22.39
qwen3-235B-GQA,fp16,2,4,2048,proj_qkv,0.4378,5.51,1412.568,71.41,0.427819,0.9771,14.58
qwen3-235B-GQA,fp16,2,4,2048,attn,7.1850,90.38,77.261,3.91,8.875147,1.2352,18.44
qwen3-235B-GQA,fp16,2,4,2048,proj_o,0.3271,4.11,1680.775,84.97,0.268435,0.8207,12.25
qwen3-235B-GQA,fp16,2,4,2048,TOTAL,7.9499,100.00,216.776,10.96,9.571402,1.2040,17.97
qwen3-235B-GQA,fp16,2,4,4096,proj_qkv,0.8385,3.49,1475.165,74.58,0.780141,0.9304,13.89
qwen3-235B-GQA,fp16,2,4,4096,attn,22.5704,93.89,98.381,4.97,34.930164,1.5476,23.10
qwen3-235B-GQA,fp16,2,4,4096,proj_o,0.6309,2.62,1742.644,88.10,0.469762,0.7445,11.11
qwen3-235B-GQA,fp16,2,4,4096,TOTAL,24.0399,100.00,189.559,9.58,36.180066,1.5050,22.46
qwen3-235B-GQA,fp16,2,8,128,proj_qkv,0.0997,30.30,775.078,39.18,0.119538,1.1984,17.89
qwen3-235B-GQA,fp16,2,8,128,attn,0.1424,43.25,30.461,1.54,0.102760,0.7218,10.77
qwen3-235B-GQA,fp16,2,8,128,proj_o,0.0871,26.45,789.139,39.90,0.092275,1.0596,15.82
qwen3-235B-GQA,fp16,2,8,128,TOTAL,0.3292,100.00,456.759,23.09,0.314573,0.9556,14.26
qwen3-235B-GQA,fp16,2,8,256,proj_qkv,0.1578,31.02,979.771,49.53,0.163578,1.0365,15.47
qwen3-235B-GQA,fp16,2,8,256,attn,0.2596,51.04,66.825,3.38,0.339739,1.3087,19.53
qwen3-235B-GQA,fp16,2,8,256,proj_o,0.0913,17.94,1506.139,76.14,0.117441,1.2870,19.21
qwen3-235B-GQA,fp16,2,8,256,TOTAL,0.5087,100.00,608.273,30.75,0.620757,1.2204,18.21
qwen3-235B-GQA,fp16,2,8,512,proj_qkv,0.2272,19.17,1360.809,68.80,0.251658,1.1074,16.53
qwen3-235B-GQA,fp16,2,8,512,attn,0.7895,66.61,87.887,4.44,1.216348,1.5406,22.99
qwen3-235B-GQA,fp16,2,8,512,proj_o,0.1685,14.22,1631.442,82.48,0.167772,0.9958,14.86
qwen3-235B-GQA,fp16,2,8,512,TOTAL,1.1853,100.00,551.356,27.87,1.635779,1.3801,20.60
qwen3-235B-GQA,fp16,2,8,1024,proj_qkv,0.4392,12.46,1408.118,71.19,0.427819,0.9740,14.54
qwen3-235B-GQA,fp16,2,8,1024,attn,2.7596,78.27,100.581,5.08,4.580180,1.6597,24.77
qwen3-235B-GQA,fp16,2,8,1024,proj_o,0.3268,9.27,1681.992,85.03,0.268435,0.8213,12.26
