key_hash,config_name,config_path,model,operation,batch_size,seq,tp,dp,pp,sp,cp,physical_topology,num_gpus,logical_topology,wall_time,gpu_time,comm_time,overlap,compute_util,memory_util,status,created_at
423852d4a83068a44bfd2f8b4c42588baa7c5e102ea958bfc78483a477875907,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl8192,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl8192.json,onering,qwen_gqa_hmp_fwd_block2x2,1,8192,16,,,,,80t,mesh2d,4x4,704,704,,,72.092,31.879,SUCCESS,2026-03-10 21:47:36
670d5bfc10a2a5716917b9c69f63020a66c50c33b3cb2bfcea4c85608260612b,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl1024,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl1024.json,onering,qwen_gqa_tp16_fwd,1,1024,16,,,,,80t,mesh2d,4x4,23442,162,23280,,84.433,21.199,SUCCESS,2026-03-10 21:49:08
0521626c9b82e5f294067eb72ba0ea613c5d3e71070ea71aede85c51884f1abc,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl16384,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl16384.json,onering,qwen_gqa_tp16_fwd,1,16384,16,,,,,80t,mesh2d,4x4,24371,946,23425,,58.514,55.391,SUCCESS,2026-03-10 21:49:09
2eae6a37550c9cab4b771d9710b9d65637d0c9bd2d2303dda07f8c44d17f4c24,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl2048,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl2048.json,onering,qwen_gqa_tp16_fwd,1,2048,16,,,,,80t,mesh2d,4x4,23494,214,23280,,76.86,31.188,SUCCESS,2026-03-10 21:49:11
3bf8a2aa5bc334532f5070139645da8d929a1cb47aa96b70f84c379c1e7308b7,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl32768,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl32768.json,onering,qwen_gqa_tp16_fwd,1,32768,16,,,,,80t,mesh2d,4x4,25501,1786,23715,,55.981,58.733,SUCCESS,2026-03-10 21:49:12
6a4381e87f31f7658fb0257282b29e2d11ee68330880b2ef027f8ef84ba5b535,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl4096,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl4096.json,onering,qwen_gqa_tp16_fwd,1,4096,16,,,,,80t,mesh2d,4x4,23598,318,23280,,69.122,41.396,SUCCESS,2026-03-10 21:49:14
c722ce09d515b66dcdc5f05a48d949895da05e120884e4869452fc23886a2a43,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl65536.json,onering,qwen_gqa_tp16_fwd,1,65536,16,,,,,80t,mesh2d,4x4,27685,3462,24223,,54.599,60.556,SUCCESS,2026-03-10 21:49:15
a67dc78c4648159686de86c89e5a89eb167a06cca28d9182be4cb65e4b84e53e,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl8192,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl8192.json,onering,qwen_gqa_tp16_fwd,1,8192,16,,,,,80t,mesh2d,4x4,23806,526,23280,,62.808,49.726,SUCCESS,2026-03-10 21:49:16
a1ead61f85f531c2d478b3ffcfb928bafd0997009ecf97c120215349de694bbf,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl1048576,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl1048576.json,onering,qwen_gqa_baseline_fwd_block2x2,1,1048576,16,,,,,80t,mesh2d,4x4,72054,53814,18240,,53.237,52.999,SUCCESS,2026-03-10 22:23:32
80a5dd710f6f03ca43142125dfc100c6ad66265f754ff274a2530c3fc7770fce,tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl131072,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_b1_80t_seq_scaling/tp16_hbm4_80t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl131072.json,onering,qwen_gqa_baseline_fwd_block2x2,1,131072,16,,,,,80t,mesh2d,4x4,25078,6838,18240,,54.008,52.13,SUCCESS,2026-03-10 22:23:33
