model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct,arith_intensity,roofline_bound,ideal_ms,overhead_x
qwen3-235B-GQA-decode,fp16,1,1,1024,proj_qkv,0.0497,19.51,1.518,0.15,0.075540,1.5184,45.33,1.00,memory,0.0225,2.21
qwen3-235B-GQA-decode,fp16,1,1,1024,attn,0.0934,36.63,0.363,0.04,0.002132,0.0228,0.68,15.91,memory,0.0006,146.78
qwen3-235B-GQA-decode,fp16,1,1,1024,proj_o,0.1119,43.87,0.600,0.06,0.067133,0.6000,17.91,1.00,memory,0.0200,5.58
qwen3-235B-GQA-decode,fp16,1,1,1024,TOTAL,0.2550,100.00,0.692,0.07,0.144806,0.5678,16.95,1.22,memory,0.0432,5.90
qwen3-235B-GQA-decode,fp16,1,1,2048,proj_qkv,0.0728,27.79,1.038,0.10,0.075540,1.0382,30.99,1.00,memory,0.0225,3.23
qwen3-235B-GQA-decode,fp16,1,1,2048,attn,0.0760,29.04,0.892,0.09,0.004229,0.0556,1.66,16.03,memory,0.0013,60.22
qwen3-235B-GQA-decode,fp16,1,1,2048,proj_o,0.1130,43.17,0.594,0.06,0.067133,0.5939,17.73,1.00,memory,0.0200,5.64
qwen3-235B-GQA-decode,fp16,1,1,2048,TOTAL,0.2618,100.00,0.804,0.08,0.146903,0.5611,16.75,1.43,memory,0.0439,5.97
qwen3-235B-GQA-decode,fp16,1,1,4096,proj_qkv,0.1256,42.52,0.601,0.06,0.075540,0.6014,17.95,1.00,memory,0.0225,5.57
qwen3-235B-GQA-decode,fp16,1,1,4096,attn,0.1090,36.90,1.244,0.13,0.008423,0.0773,2.31,16.09,memory,0.0025,43.35
qwen3-235B-GQA-decode,fp16,1,1,4096,proj_o,0.0608,20.58,1.104,0.11,0.067133,1.1045,32.97,1.00,memory,0.0200,3.03
qwen3-235B-GQA-decode,fp16,1,1,4096,TOTAL,0.2954,100.00,0.942,0.10,0.151097,0.5115,15.27,1.84,memory,0.0451,6.55
qwen3-235B-GQA-decode,fp16,1,1,8192,proj_qkv,0.0750,29.67,1.006,0.10,0.075540,1.0071,30.06,1.00,memory,0.0225,3.33
qwen3-235B-GQA-decode,fp16,1,1,8192,attn,0.1375,54.37,1.972,0.20,0.016812,0.1223,3.65,16.12,memory,0.0050,27.39
qwen3-235B-GQA-decode,fp16,1,1,8192,proj_o,0.0404,15.96,1.663,0.17,0.067133,1.6636,49.66,1.00,memory,0.0200,2.01
qwen3-235B-GQA-decode,fp16,1,1,8192,TOTAL,0.2528,100.00,1.636,0.17,0.159486,0.6308,18.83,2.59,memory,0.0476,5.31
qwen3-235B-GQA-decode,fp16,1,1,16384,proj_qkv,0.0516,22.31,1.462,0.15,0.075540,1.4633,43.68,1.00,memory,0.0225,2.29
qwen3-235B-GQA-decode,fp16,1,1,16384,attn,0.1425,61.60,3.804,0.38,0.033589,0.2357,7.04,16.14,memory,0.0100,14.21
qwen3-235B-GQA-decode,fp16,1,1,16384,proj_o,0.0372,16.09,1.803,0.18,0.067133,1.8035,53.83,1.00,memory,0.0200,1.86
qwen3-235B-GQA-decode,fp16,1,1,16384,TOTAL,0.2314,100.00,2.960,0.30,0.176263,0.7619,22.74,3.88,memory,0.0526,4.40
qwen3-235B-GQA-decode,fp16,1,1,32768,proj_qkv,0.0499,12.13,1.512,0.15,0.075540,1.5131,45.17,1.00,memory,0.0225,2.21
qwen3-235B-GQA-decode,fp16,1,1,32768,attn,0.3240,78.74,3.347,0.34,0.067144,0.2072,6.19,16.15,memory,0.0200,16.16
qwen3-235B-GQA-decode,fp16,1,1,32768,proj_o,0.0376,9.13,1.786,0.18,0.067133,1.7870,53.34,1.00,memory,0.0200,1.87
qwen3-235B-GQA-decode,fp16,1,1,32768,TOTAL,0.4115,100.00,2.982,0.30,0.209818,0.5099,15.22,5.85,memory,0.0626,6.57
qwen3-235B-GQA-decode,fp16,1,1,65536,proj_qkv,0.1228,15.97,0.615,0.06,0.075540,0.6151,18.36,1.00,memory,0.0225,5.45
qwen3-235B-GQA-decode,fp16,1,1,65536,attn,0.5631,73.21,3.851,0.39,0.134253,0.2384,7.12,16.15,memory,0.0401,14.05
qwen3-235B-GQA-decode,fp16,1,1,65536,proj_o,0.0832,10.82,0.806,0.08,0.067133,0.8066,24.08,1.00,memory,0.0200,4.15
qwen3-235B-GQA-decode,fp16,1,1,65536,TOTAL,0.7691,100.00,3.005,0.30,0.276926,0.3601,10.75,8.35,memory,0.0827,9.30
qwen3-235B-GQA-decode,fp16,1,1,131072,proj_qkv,0.1473,11.74,0.512,0.05,0.075540,0.5128,15.31,1.00,memory,0.0225,6.53
qwen3-235B-GQA-decode,fp16,1,1,131072,attn,0.9809,78.16,4.421,0.45,0.268470,0.2737,8.17,16.15,memory,0.0801,12.24
qwen3-235B-GQA-decode,fp16,1,1,131072,proj_o,0.1268,10.10,0.529,0.05,0.067133,0.5294,15.80,1.00,memory,0.0200,6.33
qwen3-235B-GQA-decode,fp16,1,1,131072,TOTAL,1.2550,100.00,3.569,0.36,0.411144,0.3276,9.78,10.90,memory,0.1227,10.23
qwen3-235B-GQA-decode,fp16,1,1,262144,proj_qkv,0.0498,2.12,1.516,0.15,0.075540,1.5172,45.29,1.00,memory,0.0225,2.21
qwen3-235B-GQA-decode,fp16,1,1,262144,attn,2.2683,96.43,3.824,0.39,0.536906,0.2367,7.07,16.16,memory,0.1603,14.15
qwen3-235B-GQA-decode,fp16,1,1,262144,proj_o,0.0342,1.45,1.965,0.20,0.067133,1.9656,58.67,1.00,memory,0.0200,1.70
qwen3-235B-GQA-decode,fp16,1,1,262144,TOTAL,2.3522,100.00,3.748,0.38,0.679580,0.2889,8.62,12.97,memory,0.2029,11.60
qwen3-235B-GQA-decode,fp16,1,1,524288,proj_qkv,0.0509,1.12,1.483,0.15,0.075540,1.4835,44.28,1.00,memory,0.0225,2.26
qwen3-235B-GQA-decode,fp16,1,1,524288,attn,4.3231,94.99,4.013,0.41,1.073777,0.2484,7.41,16.16,memory,0.3205,13.49
qwen3-235B-GQA-decode,fp16,1,1,524288,proj_o,0.1769,3.89,0.379,0.04,0.067133,0.3796,11.33,1.00,memory,0.0200,8.83
qwen3-235B-GQA-decode,fp16,1,1,524288,TOTAL,4.5509,100.00,3.843,0.39,1.216451,0.2673,7.98,14.38,memory,0.3631,12.53
qwen3-235B-GQA-decode,fp16,1,1,1048576,proj_qkv,0.0500,0.55,1.511,0.15,0.075540,1.5120,45.13,1.00,memory,0.0225,2.22
qwen3-235B-GQA-decode,fp16,1,1,1048576,attn,8.8176,97.72,3.935,0.40,2.147518,0.2435,7.27,16.16,memory,0.6411,13.75
qwen3-235B-GQA-decode,fp16,1,1,1048576,proj_o,0.1558,1.73,0.431,0.04,0.067133,0.4309,12.86,1.00,memory,0.0200,7.77
qwen3-235B-GQA-decode,fp16,1,1,1048576,TOTAL,9.0233,100.00,3.861,0.39,2.290192,0.2538,7.58,15.21,memory,0.6836,13.20
