model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct
qwen3-235B-GQA,fp16,1,32,512,proj_o,1.2726,14.18,863.997,87.36,0.469762,0.3691,11.02
qwen3-235B-GQA,fp16,1,32,512,TOTAL,8.9742,100.00,291.284,29.45,6.115295,0.6814,20.34
qwen3-235B-GQA,fp16,1,32,1024,proj_qkv,3.3175,12.01,745.716,75.40,1.484784,0.4476,13.36
qwen3-235B-GQA,fp16,1,32,1024,attn,21.7887,78.86,50.955,5.15,18.320720,0.8408,25.10
qwen3-235B-GQA,fp16,1,32,1024,proj_o,2.5222,9.13,871.875,88.16,0.872415,0.3459,10.33
qwen3-235B-GQA,fp16,1,32,1024,TOTAL,27.6283,100.00,209.320,21.16,20.677919,0.7484,22.34
qwen3-235B-GQA,fp16,1,32,2048,proj_qkv,6.6145,5.16,748.028,75.63,2.894070,0.4375,13.06
qwen3-235B-GQA,fp16,1,32,2048,attn,116.6631,90.93,38.067,3.85,71.001178,0.6086,18.17
qwen3-235B-GQA,fp16,1,32,2048,proj_o,5.0239,3.92,875.423,88.52,1.677722,0.3339,9.97
qwen3-235B-GQA,fp16,1,32,2048,TOTAL,128.3015,100.00,107.457,10.87,75.572969,0.5890,17.58
